Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1532135125.3311505,4512,1532135125,330824304,base_link,-0.05522634831520681,0.12238540976836614,-0.289584494120108,-0.9476880724651955,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.4905272722244263,-0.4660579860210418,0.3055983185768128,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.392266,0.8531785500000026,22.09438245,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1532135125.6905751,4513,1532135125,690325296,base_link,0.0044816216382003405,0.1974261405422121,-0.2866963200380691,-0.9374476274303156,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.6988581418991089,-0.07315935194492343,-0.22551672160625458,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-1.24544455,0.8727918500000018,15.023787800000001,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1532135126.0355086,4514,1532135126,35275472,base_link,0.0411936340457122,0.21756505711293203,-0.24990583066238387,-0.9426110577743605,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.18366986513137817,-0.0036514378152787768,-0.0689818263053894,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-1.24544455,1.1361159676084036e-15,9.2770909,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1532135126.3708577,4515,1532135126,370568016,base_link,0.0703175802398908,0.21115804069371422,-0.2640143332544109,-0.938490357753252,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.24275387823581696,0.13601529598236087,0.24957308173179624,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-1.2160246,-0.7649186999999991,7.9237732,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1532135126.7509248,4516,1532135126,750193680,base_link,0.12614126975913215,0.18815396158391673,-0.2980095188537821,-0.9272954186646073,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.07870455831289291,0.23213125765323642,0.24552680552005765,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-1.0002783,-0.16671304999999928,5.87418335,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1532135127.187528,4517,1532135127,187166608,base_link,0.19828979075429568,0.13310478860693614,-0.33095564509606273,-0.912925317379012,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.27794918417930603,0.3187817633152008,0.21619580686092374,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.9022118,-0.02941994999999953,3.8245935,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1532135127.4790885,4518,1532135127,478580816,base_link,0.24843870658194883,0.09514641995938321,-0.34078566059446663,-0.9017153106019629,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.1754472255706787,0.29112353920936584,0.185183048248291,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.85317855,-0.1569063999999995,3.9814999,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1532135127.8851244,4519,1532135127,884923248,base_link,0.2898313400257147,0.047952983793169694,-0.3743475035857211,-0.8795238781541799,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0921715795993805,0.1680616289377213,0.3893648087978363,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.6276256,-0.33342609999999945,4.6287388,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1532135128.402451,4520,1532135128,402213584,base_link,0.3209129443585851,0.019427723861010604,-0.4670600352130761,-0.8237064824289317,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.04683741182088852,-0.10739516466855997,0.43429693579673767,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.4707192,-0.617818949999999,7.9629998,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1532135128.7370365,4521,1532135128,736841456,base_link,0.33013067372122235,0.02461295069460737,-0.5270585221150794,-0.7826987001345697,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.10990606993436813,-0.14686504006385798,0.40791940689086914,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.4707192,0.39226600000000117,9.5712904,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1532135129.119463,4522,1532135129,117857776,base_link,0.33231770362237406,0.041713567233839434,-0.5887019948644578,-0.735700267371426,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.051982581615448,-0.24058848619461057,0.2870763540267945,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.67665885,0.3726527000000014,11.28745415,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
